3527930;1122975
3527575;1122862
3525489;1122198
3525090;1122071
3524380;1121845
3521540;1120941
3520497;1120609
3392031;1079717
3391654;1079597
3386351;1077909
3385619;1077676
3385264;1077563
3384931;1077457
3383866;1077118
3383489;1076998
3381714;1076433
3380294;1075981
3378164;1075303
3376056;1074632
3373904;1073947
3372484;1073495
3369666;1072598
3369311;1072485
3368601;1072259
3368224;1072139
3367536;1071920
3367159;1071800
3366804;1071687
3366094;1071461
3361124;1069879
3356553;1068424
3355089;1067958
3354756;1067852
3352959;1067280
3352604;1067167
3351916;1066948
3345171;1064801
3344794;1064681
3343063;1064130
3342664;1064003
3338093;1062548
3336984;1062195
3334188;1061305
3331326;1060394
3328109;1059370
3327754;1059257
3327044;1059031
3325624;1058579
3323183;1057802
3318213;1056220
3313931;1054857
3313576;1054744
3313221;1054631
3312888;1054525
3312156;1054292
3304368;1051813
3302593;1051248
3301861;1051015
3296891;1049433
3293718;1048423
3286596;1046156
3283046;1045026
3279141;1043783
3278076;1043444
3268846;1040506
3263898;1038931
3262833;1038592
3262123;1038366
3255023;1036106
3254646;1035986
3253603;1035654
3251806;1035082
3250031;1034517
3246858;1033507
3245771;1033161
3243996;1032596
3241533;1031812
3239026;1031014
3238338;1030795
3237650;1030576
3236585;1030237
3233368;1029213
3232325;1028881
3231926;1028754
3231216;1028528
3224870;1026508
3222696;1025816
3221675;1025491
3220566;1025138
3218081;1024347
3217726;1024234
3216705;1023909
3214220;1023118
3087840;982890
3083247;981428
3082892;981315
3078965;980065
3078610;979952
3078277;979846
3075437;978942
3066540;976110
3066207;976004
3065120;975658
3063345;975093
3063012;974987
3059107;973744
3051297;971258
3049877;970806
3047392;970015
3047037;969902
3046327;969676
3044175;968991
3042045;968313
3041690;968200
3038495;967183
3038162;967077
3037807;966964
3037097;966738
3028244;963920
3027889;963807
3027512;963687
3027179;963581
3022875;962211
3021832;961879
3020035;961307
3019369;961095
3018992;960975
3018659;960869
3017550;960516
3017217;960410
3016884;960304
3016529;960191
3015464;959852
3014732;959619
3013312;959167
3011204;958496
3006567;957020
3004814;956462
3003372;956003
3002329;955671
3001974;955558
3001597;955438
3000532;955099
2999844;954880
2996649;953863
2994164;953072
2990592;951935
2989882;951709
2987397;950918
2987042;950805
2983137;949562
2982094;949230
2979964;948552
2978522;948093
2976392;947415
2976037;947302
2975704;947196
2974262;946737
2972509;946179
2968959;945049
2966119;944145
2963279;943241
2961482;942669
2957244;941320
2956179;940981
2955824;940868
2955469;940755
2954737;940522
2953339;940077
2949789;938947
2947282;938149
2946594;937930
2942667;936680
2942312;936567
2940204;935896
2938784;935444
2936277;934646
2935567;934420
2930264;932732
2929909;932619
2927047;931708
2923497;930578
2922099;930133
2919969;929455
2918571;929010
2915332;927979
2913579;927421
2912869;927195
2911094;926630
2907899;925613
2907544;925500
2786156;886861
2785823;886755
2784381;886296
2784048;886190
2777303;884043
2775506;883471
2774441;883132
2773398;882800
2768761;881324
2765566;880307
2762371;879290
2762038;879184
2759886;878499
2759531;878386
2755293;877037
2752453;876133
2751033;875681
2748881;874996
2744266;873527
2743578;873308
2741448;872630
2740361;872284
2739673;872065
2738586;871719
2737188;871274
2736456;871041
2735058;870596
2727248;868110
2725118;867432
2724053;867093
2723343;866867
2722611;866634
2719771;865730
2716931;864826
2715156;864261
2708078;862008
2703485;860546
2702420;860207
2699935;859416
2696718;858392
2696363;858279
2693523;857375
2692125;856930
2691415;856704
2688553;855793
2687865;855574
2685003;854663
2683583;854211
